JD,mag,err
23.031,11.82066667,0.029
23.032,11.81385,0.023775
23.033,11.8435,0.0195
23.034,11.81135,0.023775
23.035,11.82833333,0.022666667
23.036,11.81213333,0.022033333
23.037,11.829,0.0245
23.038,11.819,0.029
23.039,11.8107,0.022033333
23.04,11.81433333,0.029
23.041,11.81095,0.023775
23.042,11.811,0.029
23.043,11.79973333,0.022033333
23.044,11.79666667,0.029
23.045,11.8195,0.029
23.046,11.80283333,0.022033333
23.047,11.818,0.029
23.048,11.8038,0.022066667
23.049,11.8055,0.029
23.05,11.8075,0.029
23.051,11.80683333,0.022
23.052,11.808,0.029
23.053,11.8097,0.023775
23.054,11.807,0.029
23.055,11.8091,0.023775
23.056,11.8075,0.029
23.057,11.8025,0.029
23.058,11.810575,0.0238
23.059,11.81266667,0.029
23.06,11.81915,0.019275
23.061,11.806,0.029
23.062,11.81638,0.02102
23.063,11.804,0.029
23.064,11.8245,0.02425
23.065,11.808525,0.023775
23.066,11.814,0.029
23.067,11.8185,0.02124
23.068,11.8005,0.029
23.069,11.82215,0.01905
23.07,11.811,0.029
23.071,11.82875,0.0245
23.072,11.8035,0.01865
23.073,11.8195,0.0245
23.074,11.81486667,0.0221
23.075,11.834,0.02
23.076,11.8065,0.0221
23.077,11.822,0.029
23.078,11.8425,0.02
23.079,11.80833333,0.0221
23.08,11.807,0.029
23.081,11.80543333,0.0221
23.082,11.823,0.029
23.083,11.8075,0.029
23.084,11.8071,0.0221
23.085,11.81666667,0.029
23.086,11.80125,0.0186
23.087,11.8085,0.029
23.088,11.816925,0.0193
23.089,11.805,0.029
23.09,11.8115,0.029
23.091,11.8204,0.02126
23.092,11.80533333,0.029
23.093,11.823,0.016133333
23.094,11.81,0.029
23.095,11.82224,0.02126
23.096,11.808,0.03
23.097,11.866,0.011
23.098,11.7897,0.0085
23.099,11.846,0.011
23.1,11.798,0.0084
23.102,11.825,0.00985
23.104,11.86,0.011
23.105,11.7904,0.0087
23.106,11.865,0.011
23.107,11.7953,0.0085
23.108,11.861,0.011
23.11,11.7897,0.0086
23.111,11.857,0.012
23.112,11.7896,0.0085
23.113,11.862,0.011
23.114,11.7931,0.0086
23.115,11.859,0.011
23.117,11.81955,0.0104
23.119,11.8278,0.00985
23.121,11.7926,0.0088
23.122,11.863,0.011
23.124,11.8269,0.01035
23.126,11.82905,0.01045
23.128,11.82685,0.01035
23.131,11.82635,0.01035
23.133,11.8299,0.0099
23.135,11.82865,0.0107
23.137,11.871,0.011
23.138,11.8003,0.0094
23.139,11.871,0.012
23.14,11.7867,0.0093
23.142,11.853,0.014
23.143,11.7874,0.0096
23.145,11.7881,0.0093
23.147,11.7888,0.0093
23.15,11.8021,0.0092
23.152,11.7907,0.0092
23.154,11.7878,0.0095
23.171,11.8484,0.0062
23.172,11.8456,0.006
23.174,11.8481,0.0061
23.175,11.846,0.006
23.176,11.8477,0.0063
23.177,11.8498,0.0062
23.178,11.8639,0.0061
23.18,11.8584,0.006
23.181,11.84,0.0061
23.182,11.8437,0.0063
23.184,11.8592,0.0066
23.185,11.8461,0.0059
23.186,11.8509,0.0062
23.188,11.8473,0.0055
23.189,11.8431,0.0055
23.19,11.8463,0.0056
23.192,11.8549,0.0053
23.194,11.8501,0.0052
23.195,11.8485,0.0053
23.196,11.8615,0.0052
23.198,11.8642,0.005
23.199,11.8513,0.005
23.2,11.8529,0.0052
23.202,11.8527,0.0051
23.203,11.8517,0.0054
23.204,11.8443,0.0052
23.206,11.8513,0.014
23.207,11.854,0.0055
23.208,11.8576,0.0055
23.21,11.8549,0.0055
23.211,11.865,0.0059
23.212,11.855,0.006
23.214,11.8685,0.0059
23.218,11.8612,0.0061
23.219,11.8629,0.0062
23.222,11.8473,0.0075
23.223,11.8488,0.0071
23.26,11.881,0.004
23.261,11.8675,0.004
23.262,11.862,0.004
23.263,11.856,0.004
23.264,11.875,0.004
23.265,11.867,0.004
23.266,11.8675,0.0045
23.267,11.878,0.005
23.268,11.876,0.005
23.269,11.8735,0.005
23.27,11.873,0.005
23.271,11.872,0.005
23.272,11.876,0.005
23.273,11.882,0.005
23.274,11.882,0.005
23.275,11.894,0.005
23.276,11.8715,0.005
23.277,11.864,0.005
23.278,11.878,0.005
23.279,11.888,0.005
23.28,11.887,0.005
23.281,11.887,0.005
23.282,11.8825,0.005
23.283,11.88025,0.00475
23.284,11.875,0.005
23.285,11.883,0.005
23.286,11.8915,0.005
23.287,11.893,0.005
23.29,11.887,0.006
23.291,11.88166667,0.005
23.292,11.884,0.005666667
23.293,11.888,0.005
23.294,11.8855,0.005
23.295,11.89766667,0.005333333
23.296,11.8855,0.0055
23.297,11.89,0.005
23.299,11.882,0.005
23.304,11.881,0.006
23.305,11.902,0.007
23.308,11.89233333,0.006
23.313,11.904,0.01
23.316,11.891,0.005
23.317,11.89,0.006
23.32,11.887,0.006
23.321,11.887,0.006
23.325,11.891,0.0055
23.326,11.883,0.006
23.329,11.88366667,0.006333333
23.332,11.898,0.006
23.333,11.8985,0.006
23.338,11.876,0.005666667
23.341,11.881,0.006
23.342,11.882,0.006
23.346,11.888,0.007
23.347,11.887,0.006
23.35,11.8845,0.0065
23.351,11.887,0.006
23.354,11.8835,0.006
23.355,11.895,0.006
23.359,11.884,0.006
23.36,11.871,0.006
23.363,11.88233333,0.006
23.366,11.892,0.007
23.367,11.8965,0.0065
23.372,11.888,0.006666667
23.375,11.894,0.006
23.376,11.881,0.007
23.38,11.887,0.006
23.381,11.888,0.007
23.384,11.881,0.007
23.385,11.872,0.007
23.388,11.898,0.01
23.393,11.88566667,0.008
23.397,11.89166667,0.008333333
23.4,11.894,0.008
23.401,11.8775,0.008
23.406,11.88166667,0.008
23.41,11.87766667,0.008333333
23.415,11.8775,0.0085
23.416,11.902,0.009
23.419,11.87933333,0.009
23.422,11.881,0.011
23.423,11.896,0.0105
23.427,11.933,0.012
23.428,11.909,0.013
23.929,11.8374,0.0081
23.932,11.831,0.0081
23.934,11.8308,0.0083
23.936,11.8306,0.0082
23.939,11.8254,0.0089
23.941,11.8237,0.0081
23.943,11.8297,0.008
23.945,11.8303,0.008
23.948,11.8283,0.008
23.95,11.8282,0.0079
23.952,11.8274,0.008
23.955,11.8243,0.0082
23.957,11.8342,0.0082
23.959,11.8308,0.008
23.962,11.8333,0.008
23.964,11.8309,0.0082
23.966,11.8327,0.0086
23.969,11.8257,0.0097
23.978,11.8183,0.0103
23.98,11.8169,0.0106
23.982,11.8092,0.0123
23.985,11.8074,0.0158
23.991,11.8126,0.0121
23.994,11.814,0.0116
23.996,11.8189,0.011
24.001,11.8218,0.0087
24.003,11.818,0.0094
24.006,11.8087,0.0084
24.008,11.8143,0.0091
24.01,11.8191,0.0086
24.013,11.8152,0.0084
24.015,11.8066,0.0085
24.017,11.8125,0.0086
24.02,11.8056,0.0086
24.022,11.8104,0.0088
24.025,11.8119,0.0086
24.027,11.8086,0.0088
24.029,11.8051,0.0087
24.032,11.7939,0.0092
24.034,11.83305,0.0096
24.036,11.861,0.01
24.037,11.7992,0.0097
24.038,11.86,0.01
24.039,11.7908,0.0094
24.041,11.7897,0.0094
24.043,11.868,0.01
24.044,11.7879,0.0097
24.045,11.861,0.01
24.046,11.7858,0.0122
24.047,11.864,0.01
24.05,11.859,0.01
24.051,11.7775,0.0102
24.052,11.86,0.01
24.053,11.7728,0.0099
24.054,11.864,0.01
24.056,11.7873,0.0095
24.057,11.862,0.01
24.058,11.7814,0.0097
24.061,11.786,0.0093
24.063,11.7821,0.0093
24.065,11.7866,0.0094
24.068,11.7853,0.0094
24.07,11.795,0.0089
24.072,11.8,0.0088
24.075,11.8023,0.0087
24.077,11.7956,0.0087
24.08,11.8011,0.0086
24.082,11.7977,0.0086
24.084,11.794,0.0087
24.087,11.8018,0.0085
24.089,11.8003,0.0085
24.092,11.8018,0.0089
24.094,11.7891,0.0088
24.096,11.8037,0.0085
24.099,11.7827,0.0086
24.101,11.7912,0.0084
24.103,11.7938,0.0084
24.106,11.7905,0.0085
24.108,11.7938,0.0086
24.111,11.7894,0.0087
24.113,11.7825,0.009
24.115,11.7897,0.0088
24.118,11.7815,0.0088
24.12,11.7936,0.0087
24.123,11.7661,0.0098
24.125,11.7933,0.0089
24.127,11.7938,0.0087
24.13,11.7849,0.0088
24.132,11.7853,0.0089
24.134,11.7857,0.0096
24.137,11.7839,0.0114
24.139,11.7709,0.0096
24.142,11.7765,0.0095
24.144,11.7842,0.0093
24.146,11.7725,0.0092
24.149,11.7807,0.0092
24.151,11.78,0.0093
24.154,11.7793,0.0095
24.155,11.857,0.008
24.156,11.8316,0.0085
24.157,11.87033333,0.008
24.158,11.83933333,0.0085
24.159,11.853,0.008
24.16,11.86566667,0.008
24.161,11.83685,0.0086
24.162,11.859,0.008
24.163,11.8433,0.0083
24.164,11.868,0.008
24.166,11.7743,0.0094
24.168,11.7852,0.0097
24.17,11.7912,0.0097
24.171,11.8675,0.008
24.172,11.865,0.008
24.173,11.83703333,0.008533333
24.174,11.869,0.008
24.175,11.84095,0.0085
24.176,11.8585,0.008
24.177,11.86366667,0.008
24.178,11.84466667,0.008833333
24.179,11.864,0.008
24.18,11.839075,0.00885
24.181,11.866,0.008
24.182,11.859,0.008
24.183,11.86033333,0.008
24.184,11.8645,0.008
24.185,11.86733333,0.008
24.186,11.8515,0.008
24.187,11.864,0.008
24.188,11.858,0.008
24.189,11.867,0.008
24.19,11.86866667,0.008
24.191,11.8635,0.008
24.192,11.8675,0.008
24.193,11.863,0.008
24.194,11.8655,0.008
24.195,11.863,0.008
24.196,11.864,0.008
24.197,11.8635,0.008
24.198,11.86,0.008
24.199,11.863,0.008
24.2,11.86333333,0.008
24.201,11.869,0.008
24.202,11.8545,0.008
24.203,11.85866667,0.008
24.204,11.86,0.008
24.205,11.867,0.008
24.206,11.861,0.008
24.207,11.862,0.008
24.208,11.859,0.008
24.209,11.861,0.008
24.21,11.86433333,0.008
24.211,11.8615,0.008
24.212,11.8705,0.008
24.213,11.86133333,0.008
24.214,11.8585,0.008
24.215,11.8595,0.008
24.216,11.86766667,0.008
24.217,11.8585,0.008
24.218,11.858,0.008
24.219,11.8685,0.008
24.22,11.8575,0.008
24.221,11.86333333,0.008
24.222,11.867,0.008
24.223,11.85866667,0.008
24.224,11.871,0.008
24.225,11.8655,0.008
24.226,11.86233333,0.008
24.227,11.8615,0.008
24.228,11.869,0.008
24.229,11.869,0.008
24.236,11.85833333,0.008
24.237,11.862,0.008
24.238,11.86133333,0.008
24.239,11.875,0.008
24.24,11.861,0.008
24.241,11.86233333,0.008
24.242,11.8615,0.008
24.243,11.85633333,0.008
24.244,11.864,0.008
24.245,11.8695,0.008
24.246,11.86233333,0.008
24.247,11.8525,0.008
24.248,11.86866667,0.008
24.249,11.862,0.008
24.25,11.861,0.008
24.251,11.87166667,0.008
24.252,11.866,0.008
24.253,11.8635,0.008
24.254,11.86775,0.007
24.255,11.88025,0.00625
24.256,11.86033333,0.008
24.257,11.87,0.008
24.258,11.86,0.008
24.259,11.87275,0.00725
24.26,11.8775,0.0065
24.261,11.85633333,0.008
24.262,11.873,0.008
24.263,11.88025,0.0065
24.264,11.876,0.00725
24.265,11.864,0.008
24.266,11.866,0.008
24.267,11.8605,0.008
24.268,11.8725,0.0065
24.269,11.8705,0.0065
24.27,11.87433333,0.007
24.271,11.8575,0.008
24.272,11.87771429,0.010857143
24.273,11.879,0.007
24.274,11.86033333,0.008
24.275,11.86566667,0.007
24.276,11.8822,0.0062
24.277,11.8694,0.0134
24.278,11.8645,0.008
24.279,11.86266667,0.008
24.28,11.8675,0.008
24.281,11.866,0.0065
24.282,11.8696,0.0068
24.283,11.8585,0.008
24.284,11.867,0.008
24.285,11.8774,0.0068
24.286,11.871,0.007
24.287,11.86566667,0.008
24.288,11.866,0.008
24.289,11.862,0.008
24.29,11.8788,0.007
24.291,11.87033333,0.007
24.292,11.854,0.008
24.293,11.8645,0.008
24.294,11.8882,0.0064
24.295,11.844,0.0135
24.296,11.857,0.008
24.297,11.869,0.00725
24.298,11.86975,0.007
24.299,11.8615,0.008
24.3,11.86133333,0.008
24.301,11.8535,0.008
24.302,11.8765,0.0075
24.303,11.87675,0.00675
24.304,11.858,0.008
24.305,11.851,0.008
24.306,11.88375,0.007
24.307,11.87625,0.006
24.308,11.864,0.008
24.309,11.8565,0.008
24.31,11.88283333,0.007
24.311,11.864,0.008
24.312,11.862,0.008
24.313,11.86366667,0.008
24.314,11.8605,0.008
24.315,11.8788,0.0072
24.316,11.87533333,0.007333333
24.317,11.8725,0.008
24.318,11.8525,0.0135
24.319,11.8836,0.007
24.32,11.85533333,0.008
24.321,11.853,0.008
24.322,11.859,0.009
24.323,11.865,0.008
24.324,11.9055,0.007
24.325,11.908,0.007
24.328,11.90366667,0.006
