JD,mag,err
17.05367,11.504,0.009
17.05913,11.502,0.009
17.06356,11.502,0.009
17.06798,11.499,0.008
17.07454,11.506,0.01
17.07896,11.503,0.009
17.08981,11.5,0.01
17.09423,11.502,0.009
17.09867,11.5,0.01
17.10309,11.506,0.009
17.10752,11.495,0.01
17.11195,11.503,0.01
17.11637,11.497,0.009
17.1208,11.508,0.009
17.12522,11.497,0.01
17.12965,11.498,0.01
17.13408,11.502,0.009
17.1385,11.493,0.01
17.14292,11.489,0.009
17.14735,11.488,0.009
17.15177,11.499,0.009
17.15619,11.49,0.01
17.16063,11.518,0.01
17.95871,11.464,0.005
17.95913,11.473,0.005
17.95955,11.478,0.005
17.95996,11.469,0.005
17.96038,11.474,0.005
18.74352,11.457,0.005
18.74373,11.45,0.006
18.74391,11.451,0.005
18.7441,11.443,0.005
18.74428,11.444,0.005
18.74447,11.452,0.005
18.74465,11.452,0.005
18.74484,11.451,0.005
18.74502,11.455,0.005
18.74521,11.451,0.005
19.98134,11.481,0.01
19.98577,11.487,0.009
19.99019,11.485,0.009
19.99462,11.486,0.008
19.99904,11.493,0.009
20.00346,11.504,0.009
20.00788,11.488,0.008
20.01231,11.484,0.008
20.01959,11.499,0.009
20.02618,11.481,0.009
20.03237,11.494,0.009
20.03536,11.489,0.008
20.03835,11.499,0.008
20.04132,11.487,0.008
20.04432,11.491,0.009
20.05185,11.481,0.009
20.05626,11.497,0.009
20.06068,11.499,0.01
20.06511,11.494,0.009
20.06953,11.501,0.009
20.07395,11.488,0.009
20.07837,11.486,0.009
20.08279,11.504,0.009
20.0872,11.514,0.009
20.09162,11.503,0.009
20.09604,11.509,0.01
20.10045,11.48,0.01
20.10487,11.543,0.009
20.10928,11.549,0.01
20.11371,11.564,0.025
22.79453,11.444,0.004
22.79472,11.445,0.004
22.79491,11.443,0.004
22.79509,11.451,0.004
22.79528,11.451,0.004
22.79546,11.447,0.004
22.79565,11.447,0.004
22.79584,11.449,0.004
22.79602,11.443,0.004
22.79621,11.446,0.004
24.97798,11.491,0.009
24.98241,11.494,0.009
24.98683,11.496,0.009
24.99125,11.483,0.012
24.99567,11.495,0.01
25.00009,11.49,0.009
25.00452,11.477,0.009
25.00895,11.475,0.008
25.01337,11.493,0.008
25.01779,11.484,0.008
25.02221,11.503,0.009
25.02663,11.507,0.008
25.03106,11.516,0.009
25.03548,11.489,0.009
25.03991,11.481,0.009
25.04433,11.484,0.008
25.04875,11.504,0.008
25.05317,11.488,0.008
25.05759,11.499,0.009
25.06202,11.488,0.009
25.06644,11.482,0.009
25.07086,11.499,0.009
25.07528,11.503,0.009
25.0797,11.497,0.009
25.08412,11.472,0.01
25.08856,11.485,0.009
25.09298,11.484,0.009
25.0974,11.478,0.009
25.10182,11.512,0.009
25.10624,11.494,0.009
25.11067,11.481,0.009
25.11509,11.494,0.009
25.11952,11.49,0.009
25.12394,11.482,0.009
25.12836,11.481,0.01
29.00318,11.481,0.009
29.00761,11.495,0.009
29.01203,11.479,0.01
29.01644,11.49,0.009
29.02086,11.477,0.009
29.02528,11.474,0.008
29.02969,11.483,0.009
29.03411,11.484,0.009
29.03853,11.482,0.009
29.04295,11.482,0.009
29.04736,11.483,0.009
29.05178,11.494,0.009
29.05621,11.493,0.009
29.06062,11.481,0.009
29.06504,11.493,0.009
29.06946,11.493,0.01
29.07388,11.492,0.01
29.0783,11.484,0.01
29.08272,11.486,0.01
29.08713,11.484,0.009
29.09155,11.492,0.009
29.09597,11.481,0.01
29.1004,11.483,0.01
29.10482,11.477,0.009
29.10923,11.481,0.01
29.11365,11.485,0.009
29.11807,11.488,0.009
29.12249,11.503,0.009
29.12691,11.485,0.01
29.13133,11.503,0.01
29.13575,11.481,0.01
29.14016,11.49,0.011
29.70926,11.448,0.005
29.70945,11.444,0.005
29.70963,11.453,0.005
29.70982,11.448,0.005
29.71,11.452,0.005
29.71019,11.452,0.005
29.71037,11.446,0.005
29.71055,11.457,0.005
29.71073,11.449,0.005
29.71092,11.452,0.005
31.1539,11.558,0.007
31.1624,11.534,0.008
32.71089,11.439,0.006
32.71108,11.43,0.006
32.71127,11.438,0.005
