,p,q,bic
0,1,0,6886.76716647
1,2,0,7129.99208046
2,2,1,29107.0962305
3,3,0,6785.96341395
4,3,1,6795.19193682
5,3,2,26410.6387992
6,4,0,7037.01752897
7,4,1,6782.0302726
8,4,2,6778.68928238
9,4,3,6907.73930348
10,5,0,6799.34835514
11,5,1,6935.50199426
12,5,2,6803.50275591
13,5,3,6786.66501044
14,5,4,6795.25817674
15,6,0,9365.74098702
16,6,1,6805.5204054
17,6,2,6825.40816258
18,6,3,6806.73108573
19,6,4,6805.29363779
20,6,5,10601.8840077
