,p,q,bic
0,1,0,8316.02758506
1,2,0,8500.12885894
2,2,1,18103.3934564
3,3,0,8320.69140814
4,3,1,7760.01337187
5,3,2,28638.3726405
6,4,0,8383.18798123
7,4,1,7769.77916116
8,4,2,7740.68308796
9,4,3,39940.515971
10,5,0,8372.18196991
11,5,1,7760.90450086
12,5,2,7771.21648056
13,5,3,7850.43381383
14,5,4,13344.6429735
15,6,0,10082.8454668
16,6,1,7824.14151742
17,6,2,7737.07962923
18,6,3,7758.73556389
19,6,4,7773.01110522
20,6,5,34224.5833226
