,p,q,aic
0,1,0,6871.7846019
1,2,0,7110.23043802
2,2,1,39705.7221102
3,3,0,6760.87698319
4,3,1,6765.22775759
5,3,2,6752.31745801
6,4,0,7028.17310255
7,4,1,6746.2653163
8,4,2,6738.39650484
9,4,3,26981.7777943
10,5,0,6783.05436344
11,5,1,6811.6896111
12,5,2,6742.42340523
13,5,3,6738.20403153
14,5,4,6745.23983918
15,6,0,9419.40197493
16,6,1,6770.89601779
17,6,2,6771.54766414
18,6,3,6761.53841074
19,6,4,6743.62505754
20,6,5,7187.87149698
