,p,q,aic
0,1,0,1732.97887451
1,2,0,1751.95185837
2,2,1,46339.5123814
3,3,0,1720.04748742
4,3,1,1726.86725642
5,3,2,1717.52515341
6,4,0,1739.4309353
7,4,1,1694.74678143
8,4,2,1699.11235993
9,4,3,1711.82895246
10,5,0,1788.41587588
11,5,1,1758.15758091
12,5,2,1703.40408889
13,5,3,1705.55492725
14,5,4,2223.7564489
15,6,0,1840.10202088
16,6,1,1778.80675992
17,6,2,1726.95726488
18,6,3,1715.60974327
19,6,4,1708.94462976
20,6,5,1873.17203354
